LeadID,RepID,LeadSource,Industry,CompanySize,DateCreated,IsConverted
86,5,Paid Social,Manufacturing,Mid-Market,2025-02-11,0
87,15,Webinar,Retail,SMB,2025-01-17,0
88,14,Cold Call,Tech,SMB,2025-03-05,0
89,3,Cold Call,Retail,SMB,2025-06-12,0
90,1,Webinar,Manufacturing,SMB,2025-12-12,0
91,5,Webinar,Retail,Mid-Market,2025-07-02,0
92,14,Paid Social,Retail,SMB,2025-05-19,0
93,7,Paid Social,Tech,Mid-Market,2025-08-12,0
94,9,Cold Call,Healthcare,SMB,2025-04-21,0
95,15,Organic Search,Retail,Mid-Market,2025-06-30,0
96,15,Organic Search,Retail,SMB,2025-02-21,0
97,10,Paid Social,Tech,Enterprise,2025-09-29,0
98,13,Webinar,Manufacturing,SMB,2025-08-22,0
99,19,Organic Search,Finance,SMB,2025-04-27,0
100,7,Organic Search,Finance,SMB,2025-11-23,0
101,17,Organic Search,Manufacturing,SMB,2025-05-03,0
102,20,Referral,Manufacturing,Mid-Market,2025-12-26,0
103,4,Cold Call,Manufacturing,SMB,2025-08-26,0
104,5,Referral,Healthcare,Enterprise,2025-12-24,1
105,7,Paid Social,Healthcare,SMB,2025-07-07,0
106,13,Webinar,Tech,Mid-Market,2025-02-24,0
107,15,Paid Social,Manufacturing,SMB,2025-07-10,0
108,11,Cold Call,Retail,SMB,2025-01-16,0
109,4,Webinar,Manufacturing,SMB,2025-07-10,0
110,13,Webinar,Manufacturing,SMB,2025-02-01,0
111,7,Referral,Retail,SMB,2025-08-03,0
112,19,Webinar,Tech,Mid-Market,2025-06-22,0
113,2,Cold Call,Manufacturing,SMB,2025-05-26,0
114,10,Paid Social,Retail,Enterprise,2025-08-29,1
115,13,Paid Social,Finance,Mid-Market,2025-10-16,0
116,6,Cold Call,Finance,Mid-Market,2025-07-03,1
117,12,Cold Call,Retail,SMB,2025-12-07,0
118,12,Paid Social,Manufacturing,Mid-Market,2025-08-24,0
119,20,Webinar,Healthcare,Enterprise,2025-12-09,1
120,11,Paid Social,Healthcare,Enterprise,2025-01-21,0
121,7,Organic Search,Manufacturing,SMB,2025-05-15,0
122,1,Organic Search,Retail,Mid-Market,2025-06-29,1
123,1,Webinar,Tech,SMB,2025-12-26,1
124,20,Webinar,Healthcare,Enterprise,2025-04-27,1
125,13,Cold Call,Finance,Enterprise,2025-09-21,1
126,9,Webinar,Tech,Mid-Market,2025-01-13,0
127,3,Webinar,Finance,Mid-Market,2025-10-20,0
128,7,Webinar,Manufacturing,SMB,2025-08-07,0
129,6,Paid Social,Tech,Enterprise,2025-02-12,0
130,8,Cold Call,Manufacturing,SMB,2025-04-28,0
131,9,Organic Search,Healthcare,Mid-Market,2025-12-31,1
132,5,Webinar,Manufacturing,SMB,2025-01-27,0
133,1,Webinar,Healthcare,Mid-Market,2025-09-17,0
134,19,Webinar,Healthcare,SMB,2025-09-09,0
135,10,Paid Social,Retail,SMB,2025-11-21,0
136,12,Paid Social,Manufacturing,Enterprise,2025-02-08,0
137,15,Paid Social,Tech,SMB,2025-04-13,0
138,9,Organic Search,Tech,SMB,2025-04-01,0
139,20,Cold Call,Retail,SMB,2025-01-14,0
140,17,Organic Search,Manufacturing,SMB,2025-01-04,0
141,17,Webinar,Retail,SMB,2025-09-16,0
142,20,Paid Social,Healthcare,SMB,2025-05-23,0
143,12,Webinar,Manufacturing,Mid-Market,2025-05-03,0
144,7,Referral,Tech,Enterprise,2025-04-26,0
145,2,Organic Search,Healthcare,Mid-Market,2025-09-11,0
146,3,Organic Search,Retail,Mid-Market,2025-09-10,0
147,17,Webinar,Retail,Mid-Market,2025-07-08,0
148,5,Webinar,Retail,Enterprise,2025-08-09,0
149,17,Organic Search,Manufacturing,SMB,2025-11-25,0
150,17,Organic Search,Retail,SMB,2025-07-05,0
151,17,Referral,Healthcare,Mid-Market,2025-10-11,0
152,2,Paid Social,Manufacturing,SMB,2025-12-13,0
153,2,Organic Search,Manufacturing,SMB,2025-05-23,0
154,5,Referral,Healthcare,Mid-Market,2025-04-16,1
155,1,Referral,Tech,SMB,2025-04-03,0
156,1,Paid Social,Manufacturing,SMB,2025-02-22,0
157,19,Webinar,Healthcare,SMB,2025-05-31,0
158,2,Referral,Manufacturing,Enterprise,2025-11-23,0
159,12,Webinar,Tech,SMB,2025-06-23,1
160,6,Organic Search,Tech,SMB,2025-11-27,0
161,4,Organic Search,Finance,SMB,2025-12-11,0
162,11,Organic Search,Manufacturing,Mid-Market,2025-11-21,0
163,17,Paid Social,Manufacturing,Mid-Market,2025-01-21,1
164,6,Webinar,Healthcare,Mid-Market,2025-02-16,0
165,5,Webinar,Healthcare,Mid-Market,2025-09-25,0
166,20,Webinar,Finance,SMB,2025-05-18,0
167,2,Cold Call,Healthcare,SMB,2025-08-25,0
168,6,Webinar,Tech,SMB,2025-02-13,0
169,11,Cold Call,Retail,Mid-Market,2025-02-26,0
170,16,Organic Search,Manufacturing,Mid-Market,2025-02-15,0
171,16,Cold Call,Finance,Enterprise,2025-10-26,0
172,1,Cold Call,Manufacturing,Mid-Market,2025-09-15,0
173,9,Organic Search,Finance,Mid-Market,2025-05-05,1
174,6,Organic Search,Retail,SMB,2025-12-05,0
175,16,Organic Search,Finance,SMB,2025-10-19,0
176,3,Cold Call,Finance,SMB,2025-03-06,0
177,20,Organic Search,Retail,SMB,2025-07-07,0
178,4,Referral,Healthcare,SMB,2025-05-29,0
179,19,Paid Social,Tech,Enterprise,2025-01-21,0
180,3,Paid Social,Finance,Enterprise,2025-07-17,1
181,19,Webinar,Tech,Enterprise,2025-07-25,1
182,20,Cold Call,Finance,SMB,2025-03-11,0
183,7,Paid Social,Retail,SMB,2025-03-15,0
184,20,Webinar,Tech,SMB,2025-10-31,0
185,9,Paid Social,Manufacturing,Enterprise,2025-09-04,0
186,1,Webinar,Tech,SMB,2025-08-01,1
187,8,Cold Call,Retail,Mid-Market,2025-08-01,0
188,7,Organic Search,Healthcare,SMB,2025-11-16,0
189,18,Cold Call,Healthcare,Mid-Market,2025-09-19,0
190,8,Organic Search,Tech,Mid-Market,2025-12-18,0
191,1,Organic Search,Retail,Mid-Market,2025-04-03,0
192,11,Organic Search,Healthcare,Mid-Market,2025-06-19,1
193,18,Organic Search,Healthcare,Enterprise,2025-03-02,0
194,10,Referral,Healthcare,SMB,2025-12-13,0
195,3,Webinar,Tech,Mid-Market,2025-01-07,0
196,7,Webinar,Healthcare,Mid-Market,2025-04-15,0
197,16,Organic Search,Retail,SMB,2025-09-12,0
198,16,Referral,Retail,SMB,2025-01-01,1
199,20,Organic Search,Manufacturing,Mid-Market,2025-01-31,0
200,17,Cold Call,Healthcare,SMB,2025-12-05,0
201,2,Webinar,Manufacturing,Enterprise,2025-10-03,0
202,1,Organic Search,Manufacturing,SMB,2025-07-02,0
203,16,Webinar,Healthcare,SMB,2025-07-28,0
204,12,Webinar,Manufacturing,SMB,2025-09-05,0
205,5,Webinar,Healthcare,SMB,2025-09-07,0
206,5,Referral,Finance,Mid-Market,2025-09-29,0
207,9,Webinar,Retail,SMB,2025-10-28,0
208,9,Webinar,Finance,Mid-Market,2025-06-16,0
209,3,Webinar,Tech,SMB,2025-06-18,0
210,19,Paid Social,Tech,SMB,2025-10-29,1
211,16,Cold Call,Manufacturing,SMB,2025-12-19,0
212,16,Paid Social,Finance,Mid-Market,2025-10-08,0
213,3,Webinar,Finance,Mid-Market,2025-12-07,0
214,20,Webinar,Healthcare,SMB,2025-07-14,0
215,1,Cold Call,Manufacturing,SMB,2025-12-23,0
216,20,Webinar,Retail,Enterprise,2025-09-27,0
217,11,Webinar,Finance,Enterprise,2025-11-17,1
218,17,Organic Search,Finance,Mid-Market,2025-04-19,1
219,8,Cold Call,Healthcare,SMB,2025-06-19,0
220,4,Paid Social,Healthcare,Enterprise,2025-12-27,1
221,6,Webinar,Retail,Mid-Market,2025-04-12,0
222,8,Paid Social,Manufacturing,Enterprise,2025-11-20,0
223,20,Referral,Healthcare,Mid-Market,2025-03-15,1
224,3,Paid Social,Tech,SMB,2025-11-18,0
225,16,Organic Search,Finance,Mid-Market,2025-06-24,0
226,3,Organic Search,Tech,SMB,2025-09-23,0
227,18,Organic Search,Tech,SMB,2025-10-21,1
228,14,Organic Search,Finance,Mid-Market,2025-11-26,0
229,18,Cold Call,Finance,Mid-Market,2025-08-10,0
230,2,Referral,Healthcare,Mid-Market,2025-06-29,0
231,3,Organic Search,Manufacturing,Mid-Market,2025-04-07,0
232,16,Cold Call,Finance,SMB,2025-12-16,0
233,9,Cold Call,Manufacturing,Enterprise,2025-07-06,1
234,4,Organic Search,Finance,Enterprise,2025-11-18,0
235,1,Paid Social,Tech,Enterprise,2025-09-29,1
236,4,Webinar,Tech,Mid-Market,2025-07-19,0
237,1,Organic Search,Retail,Mid-Market,2025-05-21,0
238,14,Organic Search,Healthcare,Enterprise,2025-12-15,0
239,16,Webinar,Healthcare,SMB,2025-07-21,0
240,20,Referral,Finance,SMB,2025-06-28,0
241,8,Paid Social,Finance,Enterprise,2025-10-10,0
242,7,Cold Call,Healthcare,SMB,2025-05-14,0
243,3,Webinar,Retail,Enterprise,2025-11-22,0
244,17,Webinar,Finance,Mid-Market,2025-12-18,0
245,1,Paid Social,Manufacturing,Mid-Market,2025-11-17,0
246,16,Paid Social,Finance,Enterprise,2025-08-06,0
247,12,Cold Call,Manufacturing,Enterprise,2025-11-13,0
248,19,Organic Search,Manufacturing,Mid-Market,2025-10-12,0
249,14,Webinar,Tech,Mid-Market,2025-08-06,0
250,6,Paid Social,Tech,Mid-Market,2025-02-17,0
251,6,Paid Social,Retail,SMB,2025-10-17,0
252,13,Webinar,Tech,Mid-Market,2025-08-04,0
253,19,Organic Search,Manufacturing,Mid-Market,2025-10-18,0
254,8,Organic Search,Retail,SMB,2025-07-12,0
255,2,Referral,Tech,SMB,2025-09-27,0
256,1,Paid Social,Tech,Mid-Market,2025-12-09,0
257,15,Webinar,Manufacturing,SMB,2025-12-01,0
258,1,Organic Search,Finance,Mid-Market,2025-07-27,0
259,5,Paid Social,Retail,SMB,2025-08-20,1
260,16,Organic Search,Tech,SMB,2025-05-01,0
261,19,Referral,Manufacturing,SMB,2025-01-12,0
262,4,Organic Search,Tech,SMB,2025-03-23,0
263,3,Paid Social,Finance,SMB,2025-09-18,0
264,17,Webinar,Healthcare,SMB,2025-01-03,0
265,17,Webinar,Retail,SMB,2025-10-26,0
266,12,Referral,Retail,SMB,2025-12-25,0
267,14,Paid Social,Manufacturing,Mid-Market,2025-06-16,0
268,6,Cold Call,Manufacturing,Mid-Market,2025-10-27,0
269,3,Referral,Tech,SMB,2025-07-25,0
270,9,Webinar,Retail,SMB,2025-02-22,0
271,5,Webinar,Tech,Enterprise,2025-07-20,0
272,17,Webinar,Healthcare,Enterprise,2025-02-17,0
273,14,Webinar,Retail,Mid-Market,2025-04-08,0
274,3,Organic Search,Healthcare,SMB,2025-06-21,0
275,1,Referral,Tech,Enterprise,2025-06-10,0
276,20,Webinar,Finance,Mid-Market,2025-11-20,0
277,1,Webinar,Healthcare,Mid-Market,2025-10-14,0
278,3,Webinar,Finance,SMB,2025-02-23,0
279,18,Cold Call,Retail,Mid-Market,2025-10-18,0
280,10,Referral,Finance,SMB,2025-09-07,0
281,3,Organic Search,Finance,SMB,2025-05-25,0
282,8,Cold Call,Tech,Enterprise,2025-03-24,0
283,14,Paid Social,Tech,Enterprise,2025-08-09,0
284,18,Webinar,Tech,SMB,2025-04-23,0
285,15,Webinar,Tech,SMB,2025-02-12,0
286,2,Webinar,Retail,Enterprise,2025-04-13,0
287,10,Organic Search,Tech,Enterprise,2025-06-11,0
288,2,Paid Social,Retail,Enterprise,2025-07-14,0
289,17,Referral,Retail,SMB,2025-08-03,0
290,8,Organic Search,Finance,Mid-Market,2025-03-06,0
291,1,Organic Search,Retail,Mid-Market,2025-05-05,1
292,9,Webinar,Tech,SMB,2025-02-15,0
293,11,Organic Search,Manufacturing,Mid-Market,2025-05-28,0
294,16,Organic Search,Finance,SMB,2025-05-28,0
295,7,Cold Call,Retail,SMB,2025-11-22,0
296,10,Webinar,Finance,Enterprise,2025-05-24,0
297,3,Webinar,Retail,SMB,2025-12-12,0
298,18,Webinar,Retail,Enterprise,2025-03-02,0
299,13,Webinar,Finance,SMB,2025-04-18,0
300,7,Paid Social,Finance,SMB,2025-06-29,0
301,4,Webinar,Healthcare,SMB,2025-02-17,1
302,13,Paid Social,Healthcare,SMB,2025-05-28,0
303,20,Paid Social,Tech,SMB,2025-03-03,0
304,1,Paid Social,Retail,SMB,2025-06-27,0
305,8,Webinar,Finance,SMB,2025-12-30,0
306,14,Webinar,Manufacturing,SMB,2025-07-26,0
307,16,Paid Social,Finance,SMB,2025-12-21,0
308,14,Paid Social,Healthcare,Mid-Market,2025-01-12,0
309,12,Webinar,Finance,Enterprise,2025-09-13,0
310,19,Organic Search,Manufacturing,SMB,2025-05-18,0
311,15,Webinar,Finance,SMB,2025-02-14,0
312,2,Paid Social,Finance,Enterprise,2025-06-08,0
313,2,Paid Social,Manufacturing,Mid-Market,2025-09-01,0
314,19,Paid Social,Healthcare,Enterprise,2025-05-23,1
315,17,Paid Social,Finance,SMB,2025-06-06,0
316,20,Webinar,Healthcare,SMB,2025-11-14,0
317,10,Webinar,Manufacturing,SMB,2025-05-19,0
318,6,Paid Social,Finance,Mid-Market,2025-05-01,0
319,15,Webinar,Finance,Enterprise,2025-05-16,0
320,11,Referral,Retail,SMB,2025-01-03,0
321,5,Paid Social,Tech,Mid-Market,2025-10-01,0
322,1,Cold Call,Manufacturing,SMB,2025-04-01,0
323,8,Referral,Healthcare,Enterprise,2025-07-05,0
324,12,Organic Search,Manufacturing,SMB,2025-09-20,0
325,12,Paid Social,Retail,Mid-Market,2025-09-14,0
326,5,Webinar,Manufacturing,SMB,2025-05-13,0
327,7,Cold Call,Tech,SMB,2025-06-16,0
328,4,Paid Social,Manufacturing,Mid-Market,2025-01-18,0
329,6,Organic Search,Healthcare,Mid-Market,2025-09-29,0
330,13,Organic Search,Healthcare,Enterprise,2025-03-17,0
331,20,Paid Social,Tech,Mid-Market,2025-04-18,0
332,15,Organic Search,Retail,SMB,2025-08-10,0
333,3,Organic Search,Finance,SMB,2025-12-03,0
334,8,Paid Social,Finance,Mid-Market,2025-08-19,0
335,20,Cold Call,Tech,SMB,2025-03-09,0
336,16,Organic Search,Tech,SMB,2025-04-17,0
337,13,Organic Search,Healthcare,SMB,2025-08-08,0
338,18,Organic Search,Tech,Mid-Market,2025-08-17,0
339,10,Organic Search,Healthcare,Mid-Market,2025-09-15,1
340,19,Organic Search,Manufacturing,SMB,2025-05-05,1
341,17,Cold Call,Healthcare,SMB,2025-08-29,0
342,19,Paid Social,Healthcare,Enterprise,2025-09-16,0
343,5,Paid Social,Manufacturing,Enterprise,2025-06-28,0
344,9,Webinar,Healthcare,SMB,2025-11-21,0
345,12,Cold Call,Finance,Mid-Market,2025-02-08,0
346,1,Organic Search,Healthcare,SMB,2025-11-06,1
347,1,Organic Search,Tech,Enterprise,2025-01-12,0
348,15,Webinar,Healthcare,Mid-Market,2025-09-27,0
349,2,Webinar,Manufacturing,Enterprise,2025-01-03,0
350,16,Organic Search,Tech,SMB,2025-09-07,0
351,8,Organic Search,Manufacturing,SMB,2025-04-17,0
352,13,Paid Social,Manufacturing,SMB,2025-12-31,0
353,1,Paid Social,Finance,SMB,2025-09-10,0
354,16,Paid Social,Retail,Mid-Market,2025-08-10,0
355,7,Cold Call,Finance,SMB,2025-01-19,0
356,5,Organic Search,Manufacturing,Mid-Market,2025-04-02,0
357,3,Organic Search,Manufacturing,Enterprise,2025-08-26,0
358,12,Cold Call,Manufacturing,SMB,2025-07-15,0
359,16,Webinar,Manufacturing,Mid-Market,2025-06-07,0
360,19,Organic Search,Manufacturing,SMB,2025-05-26,0
361,5,Referral,Finance,SMB,2025-11-18,0
362,14,Paid Social,Retail,SMB,2025-06-19,0
363,5,Organic Search,Manufacturing,SMB,2025-10-24,0
364,15,Webinar,Retail,SMB,2025-04-07,0
365,17,Paid Social,Tech,Mid-Market,2025-04-06,0
366,14,Cold Call,Healthcare,Enterprise,2025-08-01,0
367,20,Paid Social,Manufacturing,SMB,2025-10-23,0
368,5,Organic Search,Manufacturing,SMB,2025-09-29,0
369,12,Cold Call,Manufacturing,Enterprise,2025-08-04,0
370,16,Paid Social,Healthcare,SMB,2025-06-08,0
371,16,Organic Search,Retail,SMB,2025-06-30,0
372,7,Cold Call,Finance,SMB,2025-07-06,0
373,4,Organic Search,Manufacturing,Mid-Market,2025-03-27,0
374,1,Organic Search,Healthcare,Mid-Market,2025-10-08,0
375,5,Webinar,Tech,SMB,2025-10-20,0
376,10,Organic Search,Healthcare,SMB,2025-02-05,1
377,5,Cold Call,Manufacturing,SMB,2025-05-27,0
378,4,Webinar,Retail,SMB,2025-09-14,0
379,2,Organic Search,Retail,Enterprise,2025-04-25,0
380,20,Paid Social,Tech,SMB,2025-02-25,0
381,10,Cold Call,Manufacturing,Mid-Market,2025-10-04,0
382,19,Paid Social,Tech,SMB,2025-08-03,0
383,1,Cold Call,Tech,SMB,2025-02-11,0
384,5,Paid Social,Manufacturing,SMB,2025-06-04,0
385,13,Organic Search,Retail,SMB,2025-02-02,0
386,4,Organic Search,Retail,SMB,2025-10-08,1
387,16,Referral,Retail,SMB,2025-10-25,0
388,16,Organic Search,Retail,Mid-Market,2025-06-19,0
389,2,Webinar,Retail,SMB,2025-06-05,0
390,17,Referral,Tech,Enterprise,2025-01-14,0
391,20,Organic Search,Finance,SMB,2025-09-24,0
392,12,Organic Search,Manufacturing,SMB,2025-10-02,0
393,18,Organic Search,Finance,Mid-Market,2025-06-07,0
394,3,Cold Call,Tech,Mid-Market,2025-08-25,0
395,1,Webinar,Manufacturing,Enterprise,2025-12-06,0
396,1,Organic Search,Tech,Mid-Market,2025-02-11,0
397,19,Organic Search,Manufacturing,Mid-Market,2025-03-30,0
398,11,Paid Social,Healthcare,Enterprise,2025-11-27,1
399,5,Organic Search,Tech,SMB,2025-11-17,0
400,12,Cold Call,Tech,Mid-Market,2025-05-21,0
401,3,Paid Social,Healthcare,SMB,2025-09-30,1
402,1,Paid Social,Retail,SMB,2025-04-29,0
403,1,Cold Call,Healthcare,SMB,2025-04-24,0
404,8,Paid Social,Healthcare,SMB,2025-08-12,0
405,10,Paid Social,Finance,SMB,2025-07-23,0
406,11,Organic Search,Finance,SMB,2025-09-26,0
407,12,Cold Call,Retail,SMB,2025-12-05,0
408,13,Paid Social,Finance,Enterprise,2025-09-16,0
409,12,Organic Search,Retail,Enterprise,2025-09-25,0
410,14,Organic Search,Healthcare,SMB,2025-05-24,0
411,2,Organic Search,Finance,Mid-Market,2025-02-08,0
412,19,Organic Search,Retail,SMB,2025-09-24,0
413,18,Paid Social,Retail,SMB,2025-09-21,0
414,3,Organic Search,Finance,SMB,2025-11-13,0
415,17,Paid Social,Manufacturing,SMB,2025-08-10,0
416,8,Paid Social,Finance,SMB,2025-06-09,0
417,10,Cold Call,Retail,Mid-Market,2025-10-29,0
418,2,Referral,Manufacturing,SMB,2025-08-01,1
419,19,Paid Social,Finance,Mid-Market,2025-03-01,0
420,9,Organic Search,Healthcare,SMB,2025-06-03,0
421,7,Organic Search,Tech,SMB,2025-06-17,0
422,4,Organic Search,Finance,Mid-Market,2025-02-22,0
423,18,Paid Social,Finance,SMB,2025-10-23,0
424,13,Organic Search,Tech,Mid-Market,2025-01-11,0
425,11,Paid Social,Manufacturing,SMB,2025-06-09,0
426,4,Webinar,Tech,Mid-Market,2025-09-18,0
427,4,Organic Search,Manufacturing,Enterprise,2025-03-20,0
428,10,Webinar,Retail,SMB,2025-07-28,0
429,5,Webinar,Manufacturing,SMB,2025-09-27,0
430,9,Webinar,Healthcare,SMB,2025-02-27,0
431,3,Webinar,Tech,SMB,2025-03-03,0
432,17,Organic Search,Healthcare,SMB,2025-02-16,0
433,3,Organic Search,Healthcare,SMB,2025-03-14,0
434,16,Organic Search,Tech,Mid-Market,2025-07-10,0
435,4,Organic Search,Manufacturing,SMB,2025-05-22,0
436,18,Paid Social,Healthcare,SMB,2025-09-06,0
437,17,Webinar,Healthcare,Mid-Market,2025-04-16,0
438,7,Organic Search,Manufacturing,Mid-Market,2025-12-02,1
439,5,Organic Search,Healthcare,Enterprise,2025-05-20,0
440,12,Referral,Finance,Enterprise,2025-02-28,0
441,17,Organic Search,Tech,Enterprise,2025-02-27,0
442,13,Paid Social,Manufacturing,SMB,2025-04-12,0
443,3,Organic Search,Finance,Mid-Market,2025-07-22,0
444,9,Webinar,Finance,Mid-Market,2025-05-07,0
445,17,Cold Call,Manufacturing,Enterprise,2025-12-18,0
446,17,Cold Call,Retail,SMB,2025-04-21,0
447,20,Organic Search,Healthcare,Mid-Market,2025-04-21,0
448,16,Webinar,Healthcare,Mid-Market,2025-06-09,0
449,13,Paid Social,Retail,SMB,2025-04-16,0
450,19,Referral,Retail,SMB,2025-10-17,0
451,17,Webinar,Retail,SMB,2025-06-16,0
452,4,Cold Call,Healthcare,Mid-Market,2025-02-24,0
453,12,Cold Call,Tech,Mid-Market,2025-12-14,0
454,9,Organic Search,Healthcare,SMB,2025-08-13,0
455,19,Paid Social,Tech,SMB,2025-03-17,0
456,12,Webinar,Healthcare,SMB,2025-01-29,0
457,9,Organic Search,Tech,SMB,2025-03-31,0
458,7,Webinar,Tech,SMB,2025-04-10,0
459,14,Referral,Finance,Mid-Market,2025-03-30,0
460,20,Paid Social,Healthcare,Mid-Market,2025-02-10,0
461,19,Cold Call,Tech,SMB,2025-04-30,0
462,15,Organic Search,Finance,Mid-Market,2025-04-29,0
463,16,Organic Search,Healthcare,Mid-Market,2025-11-30,0
464,5,Organic Search,Tech,Mid-Market,2025-08-27,0
465,3,Paid Social,Finance,SMB,2025-02-25,0
466,12,Webinar,Retail,SMB,2025-06-23,0
467,20,Paid Social,Tech,SMB,2025-06-10,0
468,4,Cold Call,Finance,SMB,2025-09-20,0
469,16,Organic Search,Tech,Mid-Market,2025-05-02,1
470,7,Referral,Healthcare,Mid-Market,2025-12-10,0
471,13,Cold Call,Finance,SMB,2025-02-18,0
472,10,Paid Social,Healthcare,Enterprise,2025-08-19,0
473,7,Webinar,Finance,Mid-Market,2025-06-05,0
474,14,Webinar,Tech,SMB,2025-02-07,0
475,5,Referral,Healthcare,SMB,2025-12-28,1
476,3,Webinar,Manufacturing,Mid-Market,2025-05-04,0
477,11,Cold Call,Manufacturing,Mid-Market,2025-01-21,0
478,11,Webinar,Manufacturing,SMB,2025-04-17,0
479,18,Paid Social,Manufacturing,SMB,2025-12-25,0
480,15,Organic Search,Finance,SMB,2025-08-06,0
481,12,Webinar,Healthcare,SMB,2025-07-01,0
482,9,Organic Search,Finance,SMB,2025-04-23,0
